id,csiSym,date,riskOn,riskOff,prev5,prev10,antiZz120,zz30,antiMlScalpAll,antiMlLastWorstFw,mlScalpBigFb,mlSwingBigFb,mlLastBestFb,antiSea
,HG,20180119,1,-1,-1,-1,1,1,-1,-1,0,0,0,1
,HO,20180119,1,-1,-1,-1,-1,-1,-1,0,1,-1,-1,-1
,JY,20180119,-1,1,1,1,-1,1,-1,-1,0,0,0,1
,LC,20180119,1,-1,1,-1,-1,-1,-1,-1,1,0,0,-1
,LH,20180119,1,-1,1,1,1,-1,-1,-1,-1,1,1,-1
,MP,20180119,1,-1,1,1,-1,-1,-1,1,0,0,0,-1
,NE,20180119,1,-1,1,1,-1,1,-1,0,0,-1,-1,1
,NG,20180119,1,-1,1,1,-1,-1,1,0,0,0,0,-1
,NIY,20180119,1,-1,1,1,-1,-1,-1,0,0,-1,-1,1
,NQ,20180119,1,-1,1,1,-1,-1,-1,0,0,-1,-1,1
,PA,20180119,1,-1,1,1,-1,-1,-1,0,0,-1,-1,-1
,PL,20180119,-1,1,1,1,-1,-1,-1,0,0,-1,-1,-1
,RB,20180119,1,-1,1,1,-1,-1,-1,1,0,-1,0,-1
,S,20180119,1,-1,1,1,-1,-1,-1,0,0,0,0,1
,SF,20180119,1,-1,1,1,-1,-1,1,0,0,0,0,1
,SI,20180119,-1,1,1,-1,1,-1,-1,0,0,0,0,-1
,SM,20180119,1,-1,1,1,-1,-1,-1,-1,0,0,0,1
,TU,20180119,-1,1,-1,-1,1,1,1,0,-1,1,1,1
,TY,20180119,-1,1,-1,-1,1,1,1,0,0,0,1,1
,US,20180119,-1,1,-1,-1,1,1,1,-1,0,1,0,1
,W,20180119,1,-1,-1,-1,1,-1,1,0,-1,0,0,1
,YM,20180119,1,-1,1,1,1,-1,-1,0,0,0,-1,1
,CC,20180119,1,-1,1,1,-1,1,-1,-1,0,0,0,-1
,CT,20180119,1,-1,1,1,-1,-1,-1,0,0,-1,-1,-1
,KC,20180119,1,-1,-1,-1,1,-1,-1,1,0,0,0,1
,SB,20180119,1,-1,-1,-1,1,-1,-1,1,1,-1,-1,-1
,VX,20180119,-1,1,1,1,-1,-1,1,1,-1,0,1,-1
,AD,20180122,1,-1,1,1,-1,-1,-1,0,0,-1,-1,1
,BO,20180122,1,-1,-1,-1,1,1,1,0,0,1,1,1
,BP,20180122,1,-1,1,1,-1,-1,-1,0,0,-1,-1,1
,C,20180122,1,-1,1,1,-1,-1,1,1,-1,0,0,-1
,CD,20180122,1,-1,1,-1,-1,-1,-1,1,1,-1,-1,1
,CL,20180122,1,-1,-1,1,-1,1,-1,-1,0,-1,0,-1
,CU,20180122,1,-1,1,1,-1,-1,-1,0,1,-1,-1,1
,EMD,20180122,1,-1,1,1,-1,-1,-1,0,0,-1,-1,-1
,ES,20180122,1,-1,1,1,-1,-1,-1,0,0,-1,-1,-1
,FC,20180122,1,-1,1,1,-1,-1,-1,1,1,-1,-1,1
,FV,20180122,-1,1,-1,-1,1,1,1,0,0,1,1,1
,GC,20180122,-1,1,-1,1,-1,-1,-1,-1,-1,1,1,1
,HG,20180122,1,-1,-1,-1,1,-1,-1,0,0,0,-1,1
,HO,20180122,1,-1,-1,1,-1,-1,-1,0,0,-1,-1,-1
,JY,20180122,-1,1,1,1,-1,-1,-1,-1,0,0,0,1
,LC,20180122,1,-1,1,1,-1,-1,-1,1,0,0,1,-1
,LH,20180122,1,-1,1,1,-1,-1,1,-1,0,0,0,-1
,MP,20180122,1,-1,1,1,-1,-1,1,-1,0,1,0,-1
,NE,20180122,1,-1,1,1,-1,-1,-1,0,0,-1,-1,1
,NG,20180122,1,-1,-1,1,-1,-1,1,1,-1,0,0,-1
,NIY,20180122,1,-1,1,1,-1,-1,-1,0,0,-1,-1,1
,NQ,20180122,1,-1,1,1,-1,-1,-1,0,0,-1,-1,1
,PA,20180122,1,-1,-1,1,-1,1,-1,-1,0,0,0,-1
,PL,20180122,-1,1,1,1,1,1,-1,-1,0,0,0,-1
,RB,20180122,1,-1,1,1,-1,-1,-1,0,0,-1,-1,-1
,S,20180122,1,-1,1,1,-1,-1,-1,1,1,-1,-1,1
,SF,20180122,1,-1,1,1,-1,-1,1,1,-1,0,0,1
,SI,20180122,-1,1,-1,-1,1,1,1,0,0,0,0,-1
,SM,20180122,1,-1,1,1,-1,-1,-1,1,1,-1,-1,1
,TU,20180122,-1,1,-1,-1,1,1,1,0,0,1,1,1
,TY,20180122,-1,1,-1,-1,1,1,-1,0,0,1,0,1
,US,20180122,-1,1,-1,-1,1,1,-1,-1,0,1,0,1
,W,20180122,1,-1,1,-1,1,-1,-1,-1,0,0,0,1
,YM,20180122,1,-1,1,1,-1,-1,-1,0,0,-1,-1,1
,CC,20180122,1,-1,1,1,-1,1,-1,1,1,-1,-1,-1
,CT,20180122,1,-1,1,1,-1,-1,1,-1,-1,1,1,-1
,KC,20180122,1,-1,1,-1,1,-1,-1,-1,0,0,0,1
,SB,20180122,1,-1,-1,-1,1,-1,1,-1,-1,1,1,-1
,VX,20180122,-1,1,1,1,-1,1,1,0,-1,0,1,-1
,AD,20180123,1,-1,1,1,-1,-1,-1,1,1,0,0,1
,BO,20180123,1,-1,-1,-1,1,1,-1,0,0,-1,0,1
,BP,20180123,1,-1,1,1,-1,-1,-1,0,0,-1,-1,1
,C,20180123,1,-1,1,1,-1,-1,1,-1,0,0,0,-1
,CD,20180123,1,-1,-1,-1,-1,-1,-1,1,1,-1,-1,1
,CL,20180123,1,-1,1,1,-1,-1,-1,0,0,-1,-1,-1
,CU,20180123,1,-1,1,1,-1,-1,-1,0,0,-1,-1,1
,EMD,20180123,1,-1,1,1,-1,-1,-1,1,1,-1,-1,-1
,ES,20180123,1,-1,1,1,-1,-1,-1,1,1,-1,-1,-1
,FC,20180123,1,-1,1,1,-1,-1,-1,1,1,-1,-1,1
,FV,20180123,-1,1,-1,-1,1,1,-1,1,0,1,0,1
,GC,20180123,-1,1,-1,1,-1,-1,-1,0,1,-1,-1,1
,HG,20180123,1,-1,-1,-1,1,1,1,-1,-1,1,1,-1
,HO,20180123,1,-1,1,1,-1,-1,-1,0,1,-1,-1,-1
,JY,20180123,-1,1,-1,1,-1,-1,-1,0,0,-1,-1,1
,LC,20180123,1,-1,1,1,-1,-1,-1,1,1,0,0,-1
,LH,20180123,1,-1,-1,-1,1,-1,1,-1,0,0,0,-1
,MP,20180123,1,-1,1,1,-1,-1,1,1,0,0,0,-1
,NE,20180123,1,-1,1,1,-1,-1,-1,0,0,-1,-1,1
,NG,20180123,1,-1,1,1,-1,-1,-1,-1,0,0,0,-1
,NIY,20180123,1,-1,1,1,-1,-1,-1,1,1,-1,-1,1
,NQ,20180123,1,-1,1,1,-1,-1,-1,1,1,-1,-1,1
,PA,20180123,1,-1,-1,-1,1,1,-1,-1,0,0,0,-1
,PL,20180123,-1,1,1,1,1,-1,-1,0,0,0,-1,-1
,RB,20180123,1,-1,1,1,-1,-1,-1,0,0,-1,-1,-1
,S,20180123,1,-1,1,1,-1,-1,-1,0,0,0,0,1
,SF,20180123,1,-1,1,1,-1,-1,-1,0,0,-1,-1,1
,SI,20180123,-1,1,-1,-1,1,1,-1,-1,0,0,0,-1
,SM,20180123,1,-1,1,1,-1,-1,-1,1,1,0,0,1
,TU,20180123,-1,1,-1,-1,1,1,-1,-1,0,1,0,1
,TY,20180123,-1,1,-1,-1,1,1,-1,0,0,1,0,1
,US,20180123,-1,1,-1,-1,1,1,-1,1,1,0,0,1
,W,20180123,1,-1,1,-1,1,-1,1,-1,0,0,0,1
,YM,20180123,1,-1,1,1,-1,-1,-1,1,1,-1,-1,1
,CC,20180123,1,-1,-1,1,-1,1,-1,-1,1,0,0,-1
,CT,20180123,1,-1,1,1,-1,-1,-1,-1,-1,1,1,-1
,KC,20180123,1,-1,1,-1,1,-1,1,-1,0,0,0,1
,SB,20180123,1,-1,-1,-1,1,-1,-1,-1,1,-1,0,1
,VX,20180123,-1,1,-1,1,-1,1,1,1,0,0,0,-1
,AD,20180124,1,-1,1,1,-1,-1,-1,0,0,0,-1,1
,BO,20180124,1,-1,1,-1,-1,1,-1,1,-1,0,0,1
,BP,20180124,1,-1,1,1,-1,-1,-1,1,1,-1,-1,1
,C,20180124,1,-1,1,1,-1,-1,-1,1,0,0,0,-1
,CD,20180124,1,-1,1,1,-1,-1,-1,1,1,-1,-1,1
,CL,20180124,1,-1,1,1,-1,-1,-1,0,0,-1,-1,-1
,CU,20180124,1,-1,1,1,-1,-1,-1,0,0,-1,-1,1
,EMD,20180124,1,-1,1,1,-1,-1,1,1,0,-1,0,-1
,ES,20180124,1,-1,1,1,-1,-1,-1,0,1,-1,-1,-1
,FC,20180124,1,-1,1,1,-1,-1,-1,-1,-1,1,1,1
,FV,20180124,-1,1,-1,-1,1,1,1,0,0,1,1,1
,GC,20180124,-1,1,1,1,-1,-1,-1,1,1,-1,-1,1
,HG,20180124,1,-1,1,1,-1,-1,-1,1,1,-1,-1,-1
,HO,20180124,1,-1,1,1,-1,-1,-1,0,0,-1,-1,-1
,JY,20180124,-1,1,1,1,-1,-1,-1,1,1,-1,-1,1
,LC,20180124,1,-1,1,1,-1,-1,-1,1,0,0,0,-1
,LH,20180124,1,-1,1,-1,-1,-1,-1,0,0,0,0,-1
,MP,20180124,1,-1,1,1,-1,-1,-1,0,0,0,0,-1
,NE,20180124,1,-1,1,1,-1,-1,-1,0,0,-1,-1,1
,NG,20180124,1,-1,1,1,-1,-1,-1,0,0,-1,1,-1
,NIY,20180124,1,-1,-1,-1,-1,1,-1,-1,0,-1,0,1
,NQ,20180124,1,-1,1,1,-1,1,-1,-1,0,-1,0,1
,PA,20180124,1,-1,-1,1,1,-1,-1,0,1,0,-1,-1
,PL,20180124,-1,1,1,1,-1,-1,-1,0,0,-1,-1,-1
,RB,20180124,1,-1,1,1,-1,-1,-1,0,1,-1,-1,-1
,S,20180124,1,-1,1,1,-1,-1,-1,0,0,0,0,1
,SF,20180124,1,-1,1,1,-1,-1,-1,1,1,-1,-1,1
,SI,20180124,-1,1,1,1,-1,-1,-1,1,1,-1,-1,-1
,SM,20180124,1,-1,1,1,-1,-1,-1,1,0,0,0,1
,TU,20180124,-1,1,-1,-1,1,1,1,0,0,1,1,1
,TY,20180124,-1,1,-1,-1,1,1,1,0,0,1,0,1
,US,20180124,-1,1,-1,-1,1,1,-1,-1,0,0,0,1
,W,20180124,1,-1,1,1,-1,-1,-1,1,1,-1,-1,1
,YM,20180124,1,-1,1,1,-1,-1,-1,0,0,-1,-1,1
,CC,20180124,1,-1,-1,1,1,1,-1,1,-1,0,0,-1
,CT,20180124,1,-1,1,1,-1,-1,-1,1,1,-1,-1,-1
,KC,20180124,1,-1,-1,-1,1,-1,-1,0,0,0,0,1
,SB,20180124,1,-1,-1,-1,1,-1,-1,-1,1,0,0,1
,VX,20180124,-1,1,1,1,-1,-1,-1,-1,0,0,0,-1
,AD,20180125,1,-1,1,1,-1,1,-1,-1,-1,1,1,1
,BO,20180125,1,-1,1,-1,1,1,1,0,0,0,0,1
,BP,20180125,1,-1,1,1,-1,1,-1,-1,-1,1,1,1
,C,20180125,1,-1,1,1,-1,-1,-1,1,0,0,0,-1
,CD,20180125,1,-1,1,1,-1,-1,1,-1,-1,1,1,1
,CL,20180125,1,-1,1,1,-1,-1,1,-1,1,-1,0,-1
,CU,20180125,1,-1,1,1,-1,-1,-1,0,1,-1,-1,1
,EMD,20180125,1,-1,1,1,-1,-1,1,0,1,-1,-1,-1
,ES,20180125,1,-1,1,1,-1,-1,-1,0,1,-1,-1,-1
,FC,20180125,1,-1,-1,1,-1,-1,1,-1,-1,1,1,1
,FV,20180125,-1,1,-1,-1,1,-1,-1,0,-1,1,0,1
,GC,20180125,-1,1,1,1,-1,-1,-1,1,1,-1,-1,1
,HG,20180125,1,-1,1,-1,-1,1,-1,1,1,0,0,-1
,HO,20180125,1,-1,1,1,-1,-1,-1,0,1,-1,-1,-1
,JY,20180125,-1,1,1,1,-1,-1,1,0,0,-1,-1,1
,LC,20180125,1,-1,-1,1,-1,1,-1,-1,0,0,0,-1
,LH,20180125,1,-1,-1,-1,1,1,-1,-1,-1,1,1,-1
,MP,20180125,1,-1,1,1,-1,-1,-1,-1,0,0,0,-1
,NE,20180125,1,-1,1,1,1,1,1,-1,-1,1,1,1
,NG,20180125,1,-1,1,1,-1,-1,-1,0,1,-1,-1,-1
,NIY,20180125,1,-1,-1,-1,1,1,-1,1,0,0,0,1
,NQ,20180125,1,-1,1,1,-1,1,-1,-1,0,-1,0,1
,PA,20180125,1,-1,1,1,-1,-1,-1,-1,1,0,0,-1
,PL,20180125,-1,1,1,1,-1,-1,-1,0,0,0,-1,-1
,RB,20180125,1,-1,1,1,-1,-1,-1,0,0,-1,-1,-1
,S,20180125,1,-1,1,1,-1,-1,1,1,0,0,0,1
,SF,20180125,1,-1,1,1,-1,-1,-1,1,1,-1,-1,1
,SI,20180125,-1,1,1,1,-1,-1,-1,0,0,-1,-1,-1
,SM,20180125,1,-1,1,1,-1,-1,-1,0,1,-1,-1,1
,TU,20180125,-1,1,-1,-1,1,1,1,0,-1,1,1,1
,TY,20180125,-1,1,-1,-1,1,-1,-1,1,0,1,0,1
,US,20180125,-1,1,-1,-1,1,-1,-1,0,0,0,1,1
,W,20180125,1,-1,1,1,-1,-1,-1,-1,0,0,0,1
,YM,20180125,1,-1,1,1,-1,-1,-1,0,1,-1,-1,1
,CC,20180125,1,-1,-1,1,-1,1,-1,0,0,-1,-1,-1
,CT,20180125,1,-1,-1,1,1,1,-1,-1,-1,1,1,-1
,KC,20180125,1,-1,1,-1,1,-1,-1,0,-1,0,-1,1
,SB,20180125,1,-1,1,-1,1,-1,-1,0,0,0,0,1
,VX,20180125,-1,1,1,1,-1,-1,1,1,0,0,0,-1
,AD,20180126,1,-1,1,1,-1,-1,-1,1,1,-1,-1,-1
,BO,20180126,1,-1,1,-1,-1,-1,-1,1,0,0,0,-1
,BP,20180126,1,-1,1,1,-1,1,-1,-1,1,-1,-1,1
,C,20180126,1,-1,1,1,-1,-1,-1,1,0,0,0,-1
,CD,20180126,1,-1,1,1,-1,-1,-1,1,1,-1,-1,-1
,CL,20180126,1,-1,1,1,-1,-1,-1,0,1,-1,-1,-1
,CU,20180126,1,-1,1,1,-1,-1,-1,0,1,-1,-1,1
,EMD,20180126,1,-1,1,1,-1,-1,-1,0,1,-1,-1,-1
,ES,20180126,1,-1,1,1,-1,-1,-1,0,1,-1,-1,-1
,FC,20180126,1,-1,1,1,-1,-1,-1,1,1,-1,-1,1
,FV,20180126,-1,1,-1,-1,1,1,1,0,0,1,1,1
,GC,20180126,-1,1,1,1,-1,1,-1,-1,0,-1,0,1
,HG,20180126,1,-1,1,-1,-1,1,-1,-1,0,0,0,-1
,HO,20180126,1,-1,1,1,-1,-1,-1,0,1,-1,-1,-1
,JY,20180126,-1,1,1,1,-1,-1,-1,0,0,-1,-1,1
,LC,20180126,1,-1,1,1,-1,1,-1,0,0,0,0,-1
,LH,20180126,1,-1,-1,-1,1,1,-1,-1,-1,1,1,-1
,MP,20180126,1,-1,1,1,-1,-1,-1,0,-1,-1,-1,-1
,NE,20180126,1,-1,1,1,1,-1,-1,1,1,0,0,1
,NG,20180126,1,-1,1,1,-1,-1,-1,0,0,-1,-1,-1
,NIY,20180126,1,-1,-1,-1,1,1,-1,-1,0,0,0,1
,NQ,20180126,1,-1,1,1,-1,-1,-1,0,1,-1,-1,1
,PA,20180126,1,-1,-1,1,1,1,-1,-1,0,0,0,-1
,PL,20180126,-1,1,-1,1,-1,1,-1,-1,0,0,0,-1
,RB,20180126,1,-1,1,1,-1,-1,-1,0,0,-1,-1,-1
,S,20180126,1,-1,1,1,-1,-1,-1,0,0,1,-1,-1
,SF,20180126,1,-1,1,1,-1,-1,-1,1,1,-1,-1,1
,SI,20180126,-1,1,1,1,-1,1,1,-1,0,0,0,-1
,SM,20180126,1,-1,1,1,1,1,1,-1,0,0,0,1
,TU,20180126,-1,1,-1,-1,1,1,1,0,0,1,1,1
,TY,20180126,-1,1,-1,-1,1,1,-1,-1,-1,1,1,1
,US,20180126,-1,1,-1,-1,1,-1,-1,-1,0,0,0,1
,W,20180126,1,-1,1,1,-1,-1,-1,1,1,-1,-1,-1
,YM,20180126,1,-1,1,1,-1,-1,-1,0,1,-1,-1,1
,CC,20180126,1,-1,1,1,-1,-1,-1,1,0,0,0,-1
,CT,20180126,1,-1,-1,-1,1,1,-1,-1,-1,1,1,-1
,KC,20180126,1,-1,1,1,-1,-1,-1,0,1,-1,0,1
,SB,20180126,1,-1,1,-1,1,-1,-1,0,0,0,0,1
,VX,20180126,-1,1,1,1,-1,-1,1,1,0,0,0,-1
,AD,20180129,1,-1,1,1,-1,1,1,0,0,-1,-1,-1
,BO,20180129,1,-1,1,-1,-1,-1,-1,1,0,0,0,-1
,BP,20180129,1,-1,1,1,1,1,1,-1,0,0,0,1
,C,20180129,1,-1,1,1,-1,-1,-1,1,0,-1,0,-1
,CD,20180129,1,-1,1,1,-1,-1,1,-1,-1,1,1,-1
,CL,20180129,1,-1,1,1,-1,-1,-1,0,0,-1,-1,-1
,CU,20180129,1,-1,1,1,-1,-1,-1,0,0,-1,-1,1
,EMD,20180129,1,-1,-1,1,1,1,-1,-1,-1,1,1,-1
,ES,20180129,1,-1,1,1,1,1,-1,-1,-1,1,1,-1
,FC,20180129,1,-1,1,1,-1,-1,-1,-1,-1,0,0,1
,FV,20180129,-1,1,-1,-1,1,1,1,0,0,1,1,1
,GC,20180129,-1,1,1,1,1,1,-1,-1,0,0,0,1
,HG,20180129,1,-1,-1,-1,-1,1,-1,-1,1,0,0,-1
,HO,20180129,1,-1,1,1,-1,1,-1,0,0,-1,-1,-1
,JY,20180129,-1,1,1,1,-1,-1,-1,-1,-1,1,1,1
,LC,20180129,1,-1,1,1,-1,1,-1,1,1,0,0,-1
,LH,20180129,1,-1,-1,-1,1,1,1,-1,-1,1,1,-1
,MP,20180129,1,-1,1,1,-1,1,1,0,0,-1,1,-1
,NE,20180129,1,-1,1,1,1,1,-1,-1,0,0,0,1
,NG,20180129,1,-1,1,1,-1,-1,-1,0,1,-1,1,-1
,NIY,20180129,1,-1,-1,-1,1,1,-1,-1,-1,1,1,1
,NQ,20180129,1,-1,1,1,-1,1,-1,-1,-1,1,1,1
,PA,20180129,1,-1,-1,-1,1,1,-1,0,0,0,0,-1
,PL,20180129,-1,1,1,1,-1,1,-1,-1,1,0,0,-1
,RB,20180129,1,-1,1,1,-1,-1,-1,0,0,-1,-1,-1
,S,20180129,1,-1,1,1,-1,-1,-1,1,0,0,0,-1
,SF,20180129,1,-1,1,1,-1,-1,1,-1,-1,1,1,1
,SI,20180129,-1,1,1,-1,1,1,-1,-1,0,0,0,-1
,SM,20180129,1,-1,-1,1,1,1,-1,0,0,0,-1,1
,TU,20180129,-1,1,-1,-1,1,1,-1,0,0,0,1,1
,TY,20180129,-1,1,-1,-1,1,1,1,0,0,1,1,1
,US,20180129,-1,1,-1,-1,1,1,1,-1,0,1,0,1
,W,20180129,1,-1,1,1,-1,-1,-1,0,0,-1,0,-1
,YM,20180129,1,-1,1,1,1,1,-1,-1,-1,1,1,-1
,CC,20180129,1,-1,1,1,-1,-1,1,0,0,0,-1,-1
,CT,20180129,1,-1,-1,-1,1,1,1,-1,0,0,0,-1
,KC,20180129,1,-1,1,1,-1,-1,-1,0,1,-1,1,1
,SB,20180129,1,-1,1,-1,-1,-1,-1,0,0,-1,-1,1
,VX,20180129,-1,1,1,1,-1,-1,1,1,1,-1,-1,-1
,AD,20180130,1,-1,1,1,-1,1,-1,-1,1,-1,0,-1
,BO,20180130,1,-1,1,1,-1,-1,-1,0,0,0,0,-1
,BP,20180130,1,-1,1,1,1,-1,-1,1,1,-1,-1,1
,C,20180130,1,-1,1,1,-1,-1,-1,-1,0,-1,0,-1
,CD,20180130,1,-1,1,1,-1,-1,-1,-1,-1,1,1,-1
,CL,20180130,1,-1,1,1,1,1,-1,-1,0,0,0,-1
,CU,20180130,1,-1,1,1,-1,-1,-1,0,0,-1,-1,1
,EMD,20180130,1,-1,-1,1,1,1,-1,-1,-1,1,1,-1
,ES,20180130,1,-1,-1,1,1,1,1,-1,-1,1,1,-1
,FC,20180130,1,-1,1,1,-1,-1,-1,0,0,-1,0,1
,FV,20180130,-1,1,-1,-1,1,1,1,0,-1,1,1,1
,GC,20180130,-1,1,-1,-1,1,1,-1,0,1,0,0,1
,HG,20180130,1,-1,1,-1,-1,1,1,1,0,1,0,-1
,HO,20180130,1,-1,-1,1,1,1,-1,-1,0,0,0,-1
,JY,20180130,-1,1,1,1,-1,-1,-1,0,0,-1,-1,1
,LC,20180130,1,-1,-1,1,-1,-1,-1,0,0,0,-1,-1
,LH,20180130,1,-1,-1,-1,1,1,1,-1,0,0,0,-1
,MP,20180130,1,-1,1,1,1,1,1,0,0,1,1,-1
,NE,20180130,1,-1,-1,1,1,1,-1,-1,0,0,0,1
,NG,20180130,1,-1,1,1,-1,-1,-1,0,0,0,-1,-1
,NIY,20180130,1,-1,-1,-1,1,1,-1,-1,-1,1,1,1
,NQ,20180130,1,-1,-1,1,1,1,-1,-1,-1,1,1,1
,PA,20180130,1,-1,-1,-1,1,1,1,-1,-1,1,1,-1
,PL,20180130,-1,1,-1,-1,1,1,1,1,0,0,0,-1
,RB,20180130,1,-1,-1,1,-1,1,-1,-1,0,0,0,-1
,S,20180130,1,-1,1,1,-1,-1,-1,0,0,-1,-1,-1
,SF,20180130,1,-1,1,1,-1,-1,-1,1,1,-1,-1,1
,SI,20180130,-1,1,1,-1,1,1,1,1,0,0,0,-1
,SM,20180130,1,-1,1,1,1,1,-1,0,0,0,1,1
,TU,20180130,-1,1,-1,-1,1,1,1,0,0,1,1,1
,TY,20180130,-1,1,-1,-1,1,1,1,0,-1,1,1,1
,US,20180130,-1,1,-1,-1,1,1,-1,-1,-1,1,1,1
,W,20180130,1,-1,1,1,-1,-1,-1,1,1,-1,-1,-1
,YM,20180130,1,-1,-1,1,1,1,-1,-1,-1,1,1,-1
,CC,20180130,1,-1,1,1,-1,-1,-1,0,1,0,-1,-1
,CT,20180130,1,-1,-1,-1,1,1,1,-1,-1,1,1,-1
,KC,20180130,1,-1,1,1,-1,1,1,-1,0,0,0,1
,SB,20180130,1,-1,1,1,-1,-1,-1,0,0,-1,-1,1
,VX,20180130,-1,1,1,1,-1,-1,-1,0,0,-1,-1,1
,AD,20180131,1,-1,-1,1,1,1,-1,-1,0,0,0,-1
,BO,20180131,1,-1,1,1,-1,-1,1,-1,0,0,0,-1
,BP,20180131,1,-1,-1,1,1,-1,-1,0,0,0,-1,1
,C,20180131,1,-1,1,1,-1,-1,1,0,0,-1,-1,-1
,CD,20180131,1,-1,1,1,-1,-1,-1,1,1,-1,-1,-1
,CL,20180131,1,-1,-1,1,-1,1,-1,-1,0,0,0,-1
,CU,20180131,1,-1,1,1,-1,-1,-1,0,1,-1,-1,1
,EMD,20180131,1,-1,-1,-1,1,1,-1,-1,-1,1,1,-1
,ES,20180131,1,-1,-1,1,1,1,-1,-1,-1,1,1,-1
,FC,20180131,1,-1,-1,-1,-1,-1,-1,1,0,-1,0,1
,FV,20180131,-1,1,-1,-1,1,1,1,0,-1,1,1,1
,GC,20180131,-1,1,-1,-1,1,1,-1,1,0,0,0,1
,HG,20180131,1,-1,-1,1,-1,1,-1,0,0,0,0,-1
,HO,20180131,1,-1,-1,1,1,1,1,-1,1,0,0,-1
,JY,20180131,-1,1,-1,1,-1,-1,-1,-1,0,0,0,1
,LC,20180131,1,-1,-1,1,-1,1,1,-1,0,0,0,-1
,LH,20180131,1,-1,-1,-1,1,1,1,-1,0,0,0,-1
,MP,20180131,1,-1,-1,1,1,1,-1,0,0,-1,1,-1
,NE,20180131,1,-1,-1,1,1,-1,-1,0,0,0,-1,1
,NG,20180131,1,-1,-1,-1,1,1,-1,-1,-1,1,1,-1
,NIY,20180131,1,-1,-1,-1,1,1,-1,-1,-1,1,1,1
,NQ,20180131,1,-1,1,1,1,-1,-1,-1,-1,1,1,1
,PA,20180131,1,-1,-1,-1,1,1,-1,-1,-1,1,1,-1
,PL,20180131,-1,1,-1,-1,1,1,-1,-1,1,0,0,-1
,RB,20180131,1,-1,-1,1,-1,-1,-1,0,1,-1,-1,-1
,S,20180131,1,-1,1,1,-1,-1,1,1,1,-1,0,-1
,SF,20180131,1,-1,1,1,-1,-1,-1,1,1,-1,-1,1
,SI,20180131,-1,1,-1,1,1,1,-1,-1,0,0,0,-1
,SM,20180131,1,-1,-1,1,1,1,1,-1,0,-1,0,1
,TU,20180131,-1,1,-1,-1,1,1,1,-1,-1,1,1,1
,TY,20180131,-1,1,-1,-1,1,1,1,0,0,1,1,1
,US,20180131,-1,1,-1,-1,1,1,-1,1,1,-1,-1,1
,W,20180131,1,-1,1,1,-1,-1,-1,-1,-1,1,1,-1
,YM,20180131,1,-1,-1,1,1,-1,-1,-1,-1,1,1,-1
,CC,20180131,1,-1,1,1,-1,-1,-1,0,0,-1,-1,-1
,CT,20180131,1,-1,-1,-1,1,1,-1,1,1,-1,-1,-1
,KC,20180131,1,-1,-1,-1,-1,1,-1,0,0,1,-1,1
,SB,20180131,1,-1,1,-1,-1,1,1,-1,-1,1,1,1
,VX,20180131,-1,1,1,1,-1,1,1,-1,-1,1,1,1
,AD,20180201,1,-1,1,1,1,1,-1,-1,1,0,0,-1
,BO,20180201,1,-1,1,1,-1,-1,1,0,-1,0,1,-1
,BP,20180201,1,-1,1,1,-1,-1,-1,0,0,-1,-1,1
,C,20180201,1,-1,1,1,-1,-1,-1,0,-1,-1,-1,-1
,CD,20180201,1,-1,1,1,-1,-1,-1,1,-1,-1,0,-1
,CL,20180201,1,-1,1,1,1,-1,-1,0,1,-1,0,-1
,CU,20180201,1,-1,1,1,-1,-1,-1,0,0,-1,-1,1
,EMD,20180201,1,-1,-1,-1,1,1,-1,-1,-1,1,1,-1
,ES,20180201,1,-1,-1,1,1,1,-1,-1,-1,1,1,-1
,FC,20180201,1,-1,1,1,-1,-1,-1,1,1,-1,-1,1
,FV,20180201,-1,1,-1,-1,1,1,1,0,0,1,1,1
,GC,20180201,-1,1,-1,1,1,1,-1,0,1,0,-1,1
,HG,20180201,1,-1,-1,1,-1,-1,-1,0,0,1,0,-1
,HO,20180201,1,-1,-1,1,1,-1,-1,-1,1,0,0,-1
,JY,20180201,-1,1,-1,1,-1,1,1,1,0,-1,0,1
,LC,20180201,1,-1,1,1,-1,-1,-1,-1,0,-1,1,-1
,LH,20180201,1,-1,-1,-1,1,1,-1,0,0,0,0,-1
,MP,20180201,1,-1,1,1,-1,-1,-1,1,0,0,0,-1
,NE,20180201,1,-1,1,1,1,-1,-1,0,0,0,-1,1
,NG,20180201,1,-1,-1,-1,1,1,1,-1,0,0,0,-1
,NIY,20180201,1,-1,-1,-1,1,1,-1,-1,-1,1,1,1
,NQ,20180201,1,-1,-1,1,1,1,1,-1,-1,1,1,1
,PA,20180201,1,-1,-1,-1,1,1,-1,1,1,-1,-1,-1
,PL,20180201,-1,1,-1,1,1,-1,-1,0,1,0,-1,-1
,RB,20180201,1,-1,-1,1,-1,-1,-1,0,-1,-1,-1,-1
,S,20180201,1,-1,-1,1,1,1,1,-1,0,0,0,-1
,SF,20180201,1,-1,1,1,-1,-1,-1,1,1,-1,-1,1
,SI,20180201,-1,1,-1,1,1,1,-1,-1,1,0,0,-1
,SM,20180201,1,-1,-1,1,1,1,1,1,0,0,0,1
,TU,20180201,-1,1,-1,-1,1,1,1,-1,-1,1,1,1
,TY,20180201,-1,1,-1,-1,1,1,1,0,0,1,1,1
,US,20180201,-1,1,-1,-1,1,1,-1,-1,-1,1,1,1
